#Hash mark (#) indicates comments
#First number indicates the number of total equipments
#In each equipments:
#First column indicate equipment number
#Second column indicate weight of equipment 
#  -Mathematically, unit doesn't matter, but be consistent.
#Third column indicate fire power of equipment
#
#The number of equipments
16
#
#MRE 
0     1.0	0.0
#Water 
1     27.6	0.0          
#M16/M4
2     7.8	3.0
#M249
3     27.6	3.0
#M203
4     72.5	4.0
#Helmet 
5     1.0	0.0
#Armor Vest
6     1.0	0.0
#Armor Vest w/ SAPPI Plates
7     7.8	1.0
#Armor Vest w/ SAPPI Plates & Accessories
8     27.6	2.0          
#Ballistic Eye Protection
9     72.5	3.0
#Knee/Elbow Pads
10     72.5	3.0
#Optics: ACOG (magifying site)
11     21.1	4.0
#Optics: Thermal
12     1.0	0.0
#Optics: Pac4/PEQ2A (Infra Red lasers for aiming at night)
13     1.0	0.0
#Optics: PVS-14 (night vision goggles)
14     7.8	1.0
#Squad Radio
15     27.6	2.0          
